GEO_ID,Census Tract Name,% population (25+) with <9 years of education,% population (25+) with at least a high school diploma,Unemployment rate (civilian labor force 16+),% families below the poverty level,median home value,median gross rent,Median Family Income,% population below 150% of the poverty threshold,median monthly mortgage,% single-parent households with children < 18,% owner-occupied housing units,% occupied housing units without complete plumbing,% households without a motor vehicle,% households without a telephone,% households with >1 person per room,% employed persons (16+) in white-collar occupations,log ratio low-to-high income,Area Deprivation Index (ADI),census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Food_Access,Tract_Area_SqMi,Population
1400000US17031010100,Census Tract 101; Cook County; Illinois,24,2975,6.2,13.7,340700.0,1168.0,74145.0,21.7,2464.0,,30.1,0.0,30.4,0.0,1.9,68.6,0.136,101.7293035135622,17031010100,28.693841171092345,34.2508,94.8235,2.039,3.2305,7.5586,6.116,2.039,37.5127,6.7278,0.1323,4905
1400000US17031010201,Census Tract 102.01; Cook County; Illinois,629,3707,11.0,23.0,239900.0,1378.0,63056.0,33.0,1875.0,,31.1,0.0,29.8,3.4,13.4,43.1,0.007,124.54063982838,17031010201,35.93646552748992,16.4289,96.5188,4.323,1.574,10.3146,10.088,2.882,32.2813,5.9086,0.1939,6939
1400000US17031010202,Census Tract 102.02; Cook County; Illinois,207,1734,10.5,25.2,338000.0,1323.0,53220.0,25.2,2188.0,,21.9,0.0,37.1,4.2,5.4,53.6,-0.226,118.00313359089634,17031010202,26.445094244703625,141.5026,163.4514,43.764,3.1612,14.7929,25.529,7.294,121.4442,22.2465,0.1352,2742
1400000US17031010300,Census Tract 103; Cook County; Illinois,341,4867,6.0,8.7,248500.0,1431.0,73105.0,28.1,1956.0,,32.9,0.0,34.8,0.0,5.2,61.5,0.057,105.38637896992483,17031010300,34.13485568543541,108.6439,220.0543,22.205,2.097,11.2676,7.93,1.586,58.8422,4.7581,0.1775,6305
1400000US17031010400,Census Tract 104; Cook County; Illinois,0,2566,3.1,0.0,231100.0,1347.0,54083.0,0.0,1625.0,,22.2,0.0,45.1,1.1,0.0,58.1,-0.14,100.4373254868124,17031010400,25.42578740255173,231.9354,287.6988,17.72,2.1565,0.0,7.876,3.938,38.3934,9.0569,0.1921,5079
1400000US17031010501,Census Tract 105.01; Cook County; Illinois,176,2840,4.8,14.7,400300.0,1195.0,48833.0,23.8,3052.0,,16.0,1.1,52.5,1.1,0.0,65.2,-0.141,105.05366946744144,17031010501,28.88637924127796,162.8626,571.4507,19.02,5.1398,12.4069,11.888,2.378,41.6072,5.7061,0.0806,4206
1400000US17031010502,Census Tract 105.02; Cook County; Illinois,43,1982,7.2,0.0,296100.0,1383.0,63125.0,0.0,1962.0,,23.9,0.7,37.9,0.0,2.8,62.9,-0.153,99.25651650099316,17031010502,30.57670656648308,291.6412,445.9194,12.203,5.7772,14.8368,12.203,6.101,41.4887,13.7279,0.0674,3278
1400000US17031010503,Census Tract 105.03; Cook County; Illinois,97,1407,1.4,9.2,431800.0,1273.0,32443.0,16.9,,,10.6,0.0,55.1,1.4,3.3,49.7,0.042,110.76075208947344,17031010503,30.408752455809285,417.154,92.0991,19.493,0.0428,26.738,11.696,7.797,56.1404,13.2554,0.0748,2565
1400000US17031010600,Census Tract 106; Cook County; Illinois,114,4756,5.6,4.1,232100.0,1556.0,72500.0,4.1,1901.0,,42.5,0.0,40.3,0.0,1.7,64.8,-0.122,94.46607834528945,17031010600,36.93975319155595,208.0321,104.0683,16.064,1.2205,15.6904,11.245,3.213,80.4819,7.8715,0.1912,6225
1400000US17031010701,Census Tract 107.01; Cook County; Illinois,386,2206,3.7,6.8,367200.0,1390.0,74813.0,24.6,2319.0,,50.5,0.0,13.6,0.5,7.4,60.1,0.032,101.76979997750068,17031010701,43.3827650113391,34.8489,204.9991,21.781,5.4015,6.0096,21.781,5.445,26.6812,0.8168,0.1664,3673
1400000US17031010702,Census Tract 107.02; Cook County; Illinois,441,2376,9.6,10.4,230600.0,1415.0,61724.0,28.5,1862.0,,17.6,0.0,37.0,0.0,5.6,57.4,-0.32,113.99747419663944,17031010702,24.96543613201336,143.4255,101.0717,27.219,1.8202,14.5455,14.657,4.188,164.1541,27.8476,0.1375,4776
1400000US17031020100,Census Tract 201; Cook County; Illinois,201,2888,7.0,18.9,237900.0,1411.0,64904.0,21.5,2226.0,,40.8,0.0,13.1,0.0,10.7,51.4,-0.196,109.04883996234628,17031020100,29.109544193111013,16.1828,128.6627,16.659,0.0,0.0,11.899,4.76,55.6878,6.1875,0.1575,4202
1400000US17031020200,Census Tract 202; Cook County; Illinois,471,3858,8.4,2.7,425600.0,1398.0,120625.0,4.5,2527.0,,83.2,0.0,2.6,0.0,4.5,53.0,-0.151,86.03555818929767,17031020200,31.336098991610417,1.9641,94.46,28.058,4.2671,0.0,5.612,2.806,46.7172,6.5937,0.4793,7128
1400000US17031020301,Census Tract 203.01; Cook County; Illinois,37,3386,9.9,12.3,219200.0,1336.0,78385.0,16.6,2435.0,,73.0,0.0,21.9,0.7,2.1,73.4,0.13,97.06477176017444,17031020301,23.959032063061755,2.6611,161.7446,26.611,7.2647,9.3342,7.603,1.901,23.7597,5.3222,0.3214,5261
1400000US17031020302,Census Tract 203.02; Cook County; Illinois,57,3072,11.0,11.4,296300.0,1632.0,71250.0,26.2,2105.0,,62.7,0.0,11.2,0.9,2.3,64.7,-0.106,99.46944022680285,17031020302,32.702188912332346,3.3932,266.0439,33.932,4.1046,8.0972,11.976,3.992,33.1337,7.984,0.247,5010
1400000US17031020400,Census Tract 204; Cook County; Illinois,174,2680,6.6,4.8,344200.0,1463.0,73790.0,17.0,2188.0,,48.7,0.0,12.5,0.0,5.7,45.6,-0.141,99.89778401610371,17031020400,37.02782254850893,16.009,422.8131,27.057,9.4426,4.6318,15.784,4.51,35.6257,6.5389,0.2159,4435
1400000US17031020500,Census Tract 205; Cook County; Illinois,443,3995,7.2,39.0,184300.0,1346.0,37819.0,53.4,1832.0,,32.1,3.7,28.7,0.0,12.3,40.1,-0.114,133.46548727329372,17031020500,30.669031237015314,16.5177,314.881,16.669,9.1499,10.0671,9.092,4.546,57.1299,15.3053,0.298,6599
1400000US17031020601,Census Tract 206.01; Cook County; Illinois,554,2944,8.4,23.6,409300.0,1477.0,64127.0,38.8,2664.0,,39.1,0.0,21.0,0.7,9.9,56.7,-0.001,112.96038088089831,17031020601,27.717200269582847,34.7813,133.435,17.913,2.8471,17.8253,5.971,2.986,60.4568,13.1363,0.2244,6699
1400000US17031020602,Census Tract 206.02; Cook County; Illinois,367,2881,3.1,17.5,423000.0,1627.0,89663.0,22.6,2459.0,,62.7,0.0,12.8,0.0,6.2,52.9,0.049,98.32342777555944,17031020602,29.37668880426022,28.743,282.7648,12.87,8.1975,15.7978,12.87,6.435,86.0146,15.873,0.1899,4662
1400000US17031020701,Census Tract 207.01; Cook County; Illinois,64,1253,4.4,3.3,459800.0,1719.0,108568.0,7.0,3056.0,,66.2,0.0,4.0,1.9,2.8,63.3,0.044,83.5601965822367,17031020701,29.96673925116976,116.0192,315.258,117.084,4.8572,17.4825,26.61,10.644,221.9266,27.6743,0.2288,1879
1400000US17031020702,Census Tract 207.02; Cook County; Illinois,668,4020,7.0,13.9,225900.0,1441.0,63906.0,20.6,2264.0,,49.0,0.0,16.3,6.2,12.3,43.2,-0.175,113.2866881592131,17031020702,26.04834840656197,28.3789,238.4536,22.029,4.3098,22.2058,6.479,2.592,37.5794,5.9609,0.2702,7717
1400000US17031020801,Census Tract 208.01; Cook County; Illinois,121,3656,5.0,4.3,389400.0,1331.0,74931.0,17.7,2416.0,,43.0,0.0,5.9,2.2,5.2,43.2,0.152,98.67971952415397,17031020801,27.076880234346422,21.0694,165.6602,24.788,0.0,15.7978,7.082,3.541,73.3003,13.4561,0.2532,5648
1400000US17031020802,Census Tract 208.02; Cook County; Illinois,649,3754,10.9,16.4,450000.0,1500.0,68725.0,30.1,2794.0,,40.1,0.0,15.0,6.2,15.9,40.4,-0.235,114.1229961189585,17031020802,27.868197324244708,16.1675,160.8735,22.528,1.0274,24.1352,7.951,2.65,105.4864,21.7334,0.2486,7546
1400000US17031020901,Census Tract 209.01; Cook County; Illinois,491,3095,5.9,12.3,219900.0,1518.0,56291.0,29.9,1341.0,,34.7,3.6,12.2,0.0,13.2,45.6,-0.098,118.56467572410224,17031020901,23.002890056720723,16.0739,196.04,17.1,3.352,0.0,3.42,5.13,56.9425,13.5089,0.1894,5848
