SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,PUBLIC_NAM,CENSUS_TRACT
5282.0,JEFFERY,97TH STREET,NB,MT,15,,CHICAGO,Jeffery & 97th Street,17031510300
1143.0,STOCKTON,WEBSTER,NB,NT,"151,156",,CHICAGO,Stockton & Webster,17031071400
15703.0,HARLEM,SCHNEIDER,NB,NS,90,,OAK PARK,Harlem & Schneider,
6501.0,WENTWORTH,3200 SOUTH,SB,MB,"24,31",,CHICAGO,3200 S Wentworth,17031340500
1593.0,MICHIGAN,14TH STREET,SB,FS,"1,3,4",N4,CHICAGO,Michigan & 14th Street,17031330100
17175.0,MILWAUKEE,LAWRENCE,SEB,FS,56,,CHICAGO,Milwaukee & Lawrence,17031150300
1306.0,FULLERTON,CICERO,EB,FS,74,,CHICAGO,Fullerton & Cicero,17031191100
9431.0,87TH STREET,CREGIER,EB,NS,87,,CHICAGO,87th Street & Cregier,17031480100
1313.0,FULLERTON,KEELER,EB,NS,74,,CHICAGO,Fullerton & Keeler,17031200300
14557.0,87TH STREET,JEFFERY,EB,FS,87,,CHICAGO,87th Street & Jeffery,17031480100
442.0,WASHINGTON,JEFFERSON,EB,NS,"J14,19,20,56",N20,CHICAGO,Washington & Jefferson,17031280100
15228.0,DIVERSEY,4700 WEST,EB,MB,76,,CHICAGO,4700 W Diversey,17031190900
12984.0,59TH STREET,RACINE,EB,NS,59,,CHICAGO,59th Street & Racine,17031670900
11021.0,DIVERSEY,PAULINA,EB,FS,76,,CHICAGO,Diversey & Paulina,17031070700
17125.0,NORTH AVENUE,KEDZIE,EB,FS,72,,CHICAGO,North Ave & Kedzie,17031240900
17186.0,DIVISION,LARAMIE,EB,FS,70,,CHICAGO,Division & Laramie,17031251100
336.0,ROOSEVELT,RACINE,WB,NS,12,,CHICAGO,Roosevelt & Racine,17031283300
4301.0,71ST STREET,KEDZIE,WB,NS,67,,CHICAGO,71st Street & Kedzie,17031660900
814.0,GRAND,KEELER,WB,NS,65,,CHICAGO,Grand & Keeler,17031230600
12361.0,MONTEREY,ESMOND,WB,NS,112,,CHICAGO,Monterey & Esmond,17031750500
15860.0,JACKSON,WESTERN,WB,FS,126,,CHICAGO,Jackson & Western,17031280800
2395.0,STATE,31ST STREET,SB,NS,29,,CHICAGO,State & 31st Street,17031350400
6288.0,CLARK,ROOSEVELT,NB,NS,24,,CHICAGO,Clark & Roosevelt,17031330200
1051.0,SHERIDAN,MONTROSE,SB,NS,151,,CHICAGO,Sheridan & Montrose,17031031600
10017.0,KEDZIE,73RD STREET,SB,NS,52A,,CHICAGO,Kedzie & 73rd Street,17031661100
1060.0,SHERIDAN 3900N,PINE GROVE,EB,FS,151,,CHICAGO,Sheridan & Pine Grove,17031060800
8954.0,DAMEN,CULLOM,NB,NS,50,,CHICAGO,Damen & Cullom,17031050100
3668.0,HALSTED,89TH STREET,NB,NS,8A,,CHICAGO,Halsted & 89th Street,17031711500
5077.0,RACINE,53RD STREET,NB,NS,44,,CHICAGO,Racine & 53rd Street,17031612000
11933.0,95TH STREET,1300 EAST (KIMBARK),EB,MB,"N5,95,100",N5,CHICAGO,1300 E 95th Street,17031500100
9413.0,87TH STREET,PRAIRIE,EB,NS,87,,CHICAGO,87th Street & Prairie,17031440600
190.0,HARRISON,LEAVITT,EB,NS,7,,CHICAGO,Harrison & Leavitt,17031282900
6976.0,CERMAK,EAST,EB,NS,"21,322",,BERWYN,Cermak & East,
5655.0,IRVING PARK,CAMPBELL,EB,NS,80,,CHICAGO,Irving Park & Campbell,17031050400
6715.0,ORLEANS,CHESTNUT,NB,NS,37,,CHICAGO,Orleans & Chestnut,17031081800
5967.0,HALSTED,ALDINE,NB,NS,8,,CHICAGO,Halsted & Aldine,17031062000
5904.0,HALSTED,36TH STREET (north leg),NB,NS,8,,CHICAGO,Halsted & 36th Street,17031601500
5894.0,HALSTED,52ND STREET,NB,NS,8,,CHICAGO,Halsted & 52nd Street,17031612200
1560.0,INDIANA,34TH STREET,NB,MT,"1,4",N4,CHICAGO,Indiana & 34th Street,17031350700
3295.0,63RD STREET,AUSTIN,WB,NS,63W,,CHICAGO,63rd Street & Austin,17031640300
12060.0,LUNT,SHERIDAN,WB,FS,96,,CHICAGO,Lunt & Sheridan,17031010500
11057.0,DIVERSEY,LOGAN,WB,FT,76,,CHICAGO,Diversey & Logan,17031220100
7658.0,35TH STREET,ARCHER/HOYNE,WB,NS,35,,CHICAGO,35th Street & Archer,17031590300
