BRANCH,SERVICE HOURS,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,BRANCH EMAIL,LOCATION,Latitude,Longitude,CENSUS_TRACT
Albany Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3401 W. Foster Ave.,Chicago,IL,60625,(773) 539-5450,https://www.chipublib.org/locations/3/,albanypark@chipublib.org,"    (41.97557881655979, -87.71361314512697)",41.97557881655979,-87.71361314512697,17031130500
Altgeld,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",955 E. 131st St.,Chicago,IL,60827,(312) 747-3270,https://www.chipublib.org/locations/4/,altgeld@chipublib.org,"    (41.65719847558056, -87.59883829075173)",41.65719847558056,-87.59883829075173,17031540100
Archer Heights,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5055 S. Archer Ave.,Chicago,IL,60632,(312) 747-9241,https://www.chipublib.org/locations/5/,archerheights@chipublib.org,"    (41.80110836194246, -87.72648385568911)",41.80110836194246,-87.72648385568911,17031570300
Austin,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5615 W. Race Ave.,Chicago,IL,60644,(312) 746-5038,https://www.chipublib.org/locations/6/,austin@chipublib.org,"    (41.88917312206642, -87.7658203582574)",41.88917312206642,-87.7658203582574,17031251400
Austin-Irving,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6100 W. Irving Park Rd.,Chicago,IL,60634,(312) 744-6222,https://www.chipublib.org/locations/7/,austin-irving@chipublib.org,"    (41.95312267684315, -87.77928489355646)",41.95312267684315,-87.77928489355646,17031150500
Avalon,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8148 S. Stony Island Ave.,Chicago,IL,60617,(312) 747-5234,https://www.chipublib.org/locations/8/,avalon@chipublib.org,"    (41.746393038286826, -87.5860053710736)",41.746393038286826,-87.5860053710736,17031450200
Back of the Yards,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2111 W. 47th St.,Chicago,IL,60609,(312) 747-9595,https://www.chipublib.org/locations/9/,backoftheyards@chipublib.org,"    (41.808384423666354, -87.67756963874196)",41.808384423666354,-87.67756963874196,17031611500
Beverly,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1962 W. 95th St.,Chicago,IL,60643,(312) 747-9673,https://www.chipublib.org/locations/10/,beverly@chipublib.org,"    (41.72118978926962, -87.67214620967468)",41.72118978926962,-87.67214620967468,17031720100
Bezazian,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1226 W. Ainslie St.,Chicago,IL,60640,(312) 744-0019,https://www.chipublib.org/locations/11/,bezazian@chipublib.org,"    (41.97155143669217, -87.66095347964183)",41.97155143669217,-87.66095347964183,17031031100
Blackstone,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4904 S. Lake Park Ave.,Chicago,IL,60615,(312) 747-0511,https://www.chipublib.org/locations/12/,blackstone@chipublib.org,"    (41.80549277198318, -87.58923748614112)",41.80549277198318,-87.58923748614112,17031390700
Brainerd,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1350 W. 89th St.,Chicago,IL,60620,(312) 747-6291,https://www.chipublib.org/locations/13/,brainerd@chipublib.org,"    (41.73244482025524, -87.65772892721816)",41.73244482025524,-87.65772892721816,17031711400
Brighton Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4314 S. Archer Ave.,Chicago,IL,60632,(312) 747-0666,https://www.chipublib.org/locations/14/,brightonpark@chipublib.org,"    (41.81516027827089, -87.70273371160454)",41.81516027827089,-87.70273371160454,17031580500
Bucktown-Wicker Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun.,  1-5",1701 N. Milwaukee Ave.,Chicago,IL,60647,(312) 744-6022,https://www.chipublib.org/locations/15/,bucktown-wickerpark@chipublib.org,"    (41.91235487836141, -87.68029967133904)",41.91235487836141,-87.68029967133904,17031240400
Budlong Woods,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5630 N. Lincoln Ave.,Chicago,IL,60659,(312) 742-9590,https://www.chipublib.org/locations/16/,budlongwoods@chipublib.org,"    (41.98369797603738, -87.69631576617253)",41.98369797603738,-87.69631576617253,17031020800
Canaryville,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",642 W. 43rd St.,Chicago,IL,60609,(312) 747-0644,https://www.chipublib.org/locations/17/,canaryville@chipublib.org,"    (41.81634394084193, -87.64256827550598)",41.81634394084193,-87.64256827550598,17031610100
Chicago Bee,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",3647 S. State St.,Chicago,IL,60609,(312) 747-6872,https://www.chipublib.org/locations/18/,chicagobee@chipublib.org,"    (41.82824306445502, -87.6263495444489)",41.82824306445502,-87.6263495444489,17031351400
Chicago Lawn,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6120 S. Kedzie Ave.,Chicago,IL,60629,(312) 747-0639,https://www.chipublib.org/locations/19/,chicagolawn@chipublib.org,"    (41.7819767986214, -87.7033680880769)",41.7819767986214,-87.7033680880769,17031660400
Chinatown,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",2100 S. Wentworth Ave.,Chicago,IL,60616,(312) 747-8013,https://www.chipublib.org/locations/20/,chinatown@chipublib.org,"    (41.85412074173438, -87.63195792246246)",41.85412074173438,-87.63195792246246,17031340100
Clearing,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6423 W. 63rd Pl.,Chicago,IL,60638,(312) 747-5657,https://www.chipublib.org/locations/21/,clearing@chipublib.org,"    (41.776652677565934, -87.78218757614671)",41.776652677565934,-87.78218757614671,17031640500
Coleman,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",731 E. 63rd St.,Chicago,IL,60637,(312) 747-7760,https://www.chipublib.org/locations/22/,coleman@chipublib.org,"    (41.78028267185317, -87.60712228979007)",41.78028267185317,-87.60712228979007,17031420700
"Daley, Richard J.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3400 S. Halsted St.,Chicago,IL,60608,(312) 747-8990,https://www.chipublib.org/locations/23/,daley@chipublib.org,"    (41.8327976771251, -87.64629980794813)",41.8327976771251,-87.64629980794813,17031600800
"Daley, Richard M.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",733 N. Kedzie Ave.,Chicago,IL,60612,(312) 743-0555,https://www.chipublib.org/locations/24/,richardmdaley@chipublib.org,"    (41.894726658545295, -87.7063841773407)",41.894726658545295,-87.7063841773407,17031231700
Douglass,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3353 W. 13th St.,Chicago,IL,60623,(312) 747-3725,https://www.chipublib.org/locations/25/,douglass@chipublib.org,"    (41.86441239309047, -87.71017465670012)",41.86441239309047,-87.71017465670012,17031291300
Dunning,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7455 W. Cornelia Ave.,Chicago,IL,60634,(312) 743-0480,https://www.chipublib.org/locations/26/,dunning@chipublib.org,"    (41.94319949471892, -87.81395164414246)",41.94319949471892,-87.81395164414246,17031170800
Edgebrook,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5331 W. Devon Ave.,Chicago,IL,60646,(312) 744-8313,https://www.chipublib.org/locations/27/,edgebrook@chipublib.org,"    (41.997213372156295, -87.76211751799003)",41.997213372156295,-87.76211751799003,17031120200
Edgewater,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6000 N. Broadway St.,Chicago,IL,60660,(312) 742-1945,https://www.chipublib.org/locations/28/,edgewater@chipublib.org,"    (41.99095923823291, -87.660442745415)",41.99095923823291,-87.660442745415,17031030200
Gage Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2807 W. 55th St.,Chicago,IL,60632,(312) 747-0032,https://www.chipublib.org/locations/29/,gagepark@chipublib.org,"    (41.79357525220078, -87.69413004003073)",41.79357525220078,-87.69413004003073,17031630800
Galewood-Mont Clare,Closed until further notice,6871 W. Belden Ave.,Chicago,IL,60707,,https://www.chipublib.org/locations/30/,galewood-montclare@chipublib.org,"    (41.9210332601157, -87.79791005523576)",41.9210332601157,-87.79791005523576,17031180300
Garfield Ridge,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6348 S. Archer Ave.,Chicago,IL,60638,(312) 747-6094,https://www.chipublib.org/locations/31/,garfieldridge@chipublib.org,"    (41.792915800399726, -87.78013459023622)",41.792915800399726,-87.78013459023622,17031560800
Greater Grand Crossing,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1000 E. 73rd St.,Chicago,IL,60619,(312) 745-1608,https://www.chipublib.org/locations/32/,greatergrandcrossing@chipublib.org,"    (41.76239541819689, -87.60051216643727)",41.76239541819689,-87.60051216643727,17031690800
Hall,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4801 S. Michigan Ave.,Chicago,IL,60615,(312) 747-2541,https://www.chipublib.org/locations/33/,hall@chipublib.org,"    (41.807377846345496, -87.62263720177272)",41.807377846345496,-87.62263720177272,17031381400
Harold Washtington Library Center,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",400 S. State St.,Chicago,IL,60605,(312) 747-4300,https://www.chipublib.org/locations/34/,hwlc@chipublib.org,"    (41.87686252958797, -87.62779697013237)",41.87686252958797,-87.62779697013237,17031320500
Hegewisch,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3048 E. 130th St.,Chicago,IL,60633,(312) 747-0046,https://www.chipublib.org/locations/35/,hegewisch@chipublib.org,"    (41.65927659861025, -87.54881978393514)",41.65927659861025,-87.54881978393514,17031550100
Humboldt Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1605 N. Troy St.,Chicago,IL,60647,(312) 744-2244,https://www.chipublib.org/locations/36/,humboldtpark@chipublib.org,"    (41.910332307504966, -87.70551941016132)",41.910332307504966,-87.70551941016132,17031230100
Independence,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4024 N. Elston Ave.,Chicago,IL,60618,(312) 744-0900,https://www.chipublib.org/locations/37/,independence@chipublib.org,"    (41.95413885986087, -87.7200155607629)",41.95413885986087,-87.7200155607629,17031160400
Jefferson Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",5363 W. Lawrence Ave.,Chicago,IL,60630,(312) 744-1998,https://www.chipublib.org/locations/38/,jeffersonpark@chipublib.org,"    (41.96750826032374, -87.76176748220928)",41.96750826032374,-87.76176748220928,17031150300
Jeffery Manor,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2401 E. 100th St.,Chicago,IL,60617,(312) 747-6479,https://www.chipublib.org/locations/39/,jefferymanor@chipublib.org,"    (41.71340053892868, -87.56573413765888)",41.71340053892868,-87.56573413765888,17031510300
Kelly,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6151 S. Normal Blvd.,Chicago,IL,60621,(312) 747-8418,https://www.chipublib.org/locations/40/,kellylibrary@chipublib.org,"    (41.78202569697298, -87.63738794358196)",41.78202569697298,-87.63738794358196,17031680200
King,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3436 S. King Dr.,Chicago,IL,60616,(312) 747-7543,https://www.chipublib.org/locations/41/,king@chipublib.org,"    (41.83175130060517, -87.61747228078738)",41.83175130060517,-87.61747228078738,17031350700
Legler Regional,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",115 S. Pulaski Rd.,Chicago,IL,60624,(312) 746-7730,https://www.chipublib.org/locations/42/,legler@chipublib.org,"    (41.87934542742433, -87.72547641315548)",41.87934542742433,-87.72547641315548,17031260800
Lincoln Belmont,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1659 W. Melrose St.,Chicago,IL,60657,(312) 744-0166,https://www.chipublib.org/locations/43/,lincolnbelmont@chipublib.org,"    (41.94046531149621, -87.67102536129381)",41.94046531149621,-87.67102536129381,17031062500
Lincoln Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1150 W. Fullerton Ave.,Chicago,IL,60614,(312) 744-1926,https://www.chipublib.org/locations/44/,lincolnpark@chipublib.org,"    (41.92540663614013, -87.65806218385674)",41.92540663614013,-87.65806218385674,17031070400
Little Italy,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1336 W. Taylor St.,Chicago,IL,60607,(312) 746-5656,https://www.chipublib.org/locations/62/,littleitaly@chipublib.org,"    (41.86946341218242, -87.66072612668584)",41.86946341218242,-87.66072612668584,17031283200
Little Village,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2311 S. Kedzie Ave.,Chicago,IL,60623,(312) 745-1862,https://www.chipublib.org/locations/45/,littlevillage@chipublib.org,"    (41.84959155873184, -87.70504118331108)",41.84959155873184,-87.70504118331108,17031300900
Logan Square,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3030 W. Fullerton Ave.,Chicago,IL,60647,(312) 744-5295,https://www.chipublib.org/locations/46/,logansquare@chipublib.org,"    (41.924860376546214, -87.7035190503226)",41.92486037654621,-87.7035190503226,17031220500
Lozano,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1805 S. Loomis St.,Chicago,IL,60608,(312) 746-4329,https://www.chipublib.org/locations/47/,lozano@chipublib.org,"    (41.857601233304614, -87.66116376475367)",41.85760123330461,-87.66116376475367,17031310600
Manning,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6 S. Hoyne Ave.,Chicago,IL,60612,(312) 746-6800,https://www.chipublib.org/locations/48/,manning@chipublib.org,"    (41.88108555559726, -87.67923504553734)",41.88108555559726,-87.67923504553734,17031281300
Mayfair,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4400 W. Lawrence Ave.,Chicago,IL,60630,(312) 744-1254,https://www.chipublib.org/locations/49/,mayfair@chipublib.org,"    (41.968242773953044, -87.737968778247)",41.96824277395304,-87.737968778247,17031140400
McKinley Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1915 W. 35th St.,Chicago,IL,60609,(312) 747-6082,https://www.chipublib.org/locations/50/,mckinleypark@chipublib.org,"    (41.83030074817219, -87.67349098124289)",41.83030074817219,-87.67349098124289,17031590600
