census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Grocery_Store
17031720500,40.5,0.0,5.69,9.0,0.0,1.0,3.0,2.0,176.0,14.0
17031730200,21.4,64.0,9.26,19.0,3.777413222953777,3.0,12.0,3.0,387.0,45.0
17031730300,21.4,0.0,0.0,5.0,1.523678358161246,2.0,5.0,2.0,124.0,23.0
17031740100,18.6,0.0,0.0,20.0,0.0,1.0,3.0,1.0,200.0,32.0
17031710500,18.7,0.0,16.56,18.0,2.75916340272762,1.0,6.0,2.0,266.0,60.0
17031711200,18.7,72.0,9.19,17.0,4.256169089904896,1.0,6.0,3.0,191.0,30.0
17031711300,18.7,0.0,0.96,6.0,1.255023856950929,1.0,2.0,2.0,119.0,33.0
17031720200,40.5,0.0,17.73,14.0,4.456073952182153,2.0,9.0,3.0,329.0,39.0
17031700400,15.3,0.0,14.4,35.0,0.0,4.0,10.0,2.0,651.0,108.0
17031710200,18.7,0.0,6.84,13.0,1.2762648424735916,9.0,7.0,1.0,125.0,27.0
17031681400,24.7,0.0,0.0,12.0,0.9891237874870084,4.0,8.0,1.0,106.0,21.0
17031690800,21.4,0.0,2.97,23.0,2.878499636535385,2.0,7.0,4.0,111.0,10.0
17031691100,21.4,0.0,2.99,21.0,1.4338735572023311,4.0,6.0,2.0,156.0,27.0
17031691300,21.4,0.0,0.0,17.0,0.4986872955468101,2.0,5.0,2.0,230.0,38.0
17031680500,24.7,0.0,1.94,8.0,0.0,1.0,6.0,3.0,43.0,11.0
17031681200,24.7,69.0,3.12,17.0,1.9666580959005973,4.0,11.0,2.0,155.0,47.0
17031670100,25.9,0.0,0.3,9.0,0.0,1.0,5.0,3.0,49.0,5.0
17031670600,25.9,0.0,0.0,7.0,0.935847068265914,1.0,8.0,2.0,61.0,9.0
17031670800,25.9,0.0,0.0,4.0,0.5075864357155586,1.0,5.0,2.0,124.0,19.0
17031671300,25.9,0.0,0.24,8.0,1.6868792118649023,1.0,7.0,1.0,74.0,16.0
17031650500,10.7,89.0,12.75,23.0,0.0,3.0,5.0,2.0,831.0,108.0
17031660200,18.5,146.0,0.0,14.0,1.0040920640012043,6.0,8.0,3.0,336.0,56.0
17031660700,18.5,0.0,0.48,8.0,1.5330472491138245,4.0,11.0,1.0,126.0,13.0
17031640400,8.8,0.0,8.32,15.0,0.0,1.0,5.0,2.0,207.0,12.0
17031640600,8.8,0.0,0.0,21.0,0.0,1.0,3.0,1.0,190.0,19.0
17031640700,8.8,0.0,4.82,20.0,0.0,0.0,2.0,1.0,104.0,17.0
17031650400,10.7,0.0,0.0,13.0,0.2380686363838402,2.0,6.0,3.0,168.0,26.0
17031630200,14.6,0.0,0.0,11.0,0.1067408934491643,2.0,13.0,3.0,145.0,26.0
17031630300,14.6,0.0,0.0,11.0,0.0,2.0,12.0,4.0,344.0,45.0
17031630500,14.6,0.0,0.0,15.0,0.0,2.0,8.0,3.0,227.0,33.0
17031610500,15.6,0.0,0.0,3.0,0.0,2.0,7.0,3.0,85.0,15.0
17031610600,15.6,0.0,0.0,12.0,1.5489347215550386,1.0,5.0,3.0,116.0,4.0
17031611100,15.6,0.0,1.07,8.0,0.629182256426346,2.0,7.0,3.0,68.0,13.0
17031611500,15.6,115.0,0.0,14.0,0.2493525292154421,2.0,11.0,2.0,179.0,12.0
17031611900,15.6,0.0,57.69,16.0,0.3770621397462115,1.0,11.0,2.0,148.0,27.0
17031600700,13.0,55.0,4.8,9.0,0.550396308220149,1.0,3.0,3.0,179.0,21.0
17031601200,13.0,0.0,0.0,3.0,0.0434378651609629,1.0,4.0,3.0,34.0,0.0
17031601600,13.0,0.0,0.0,3.0,0.2879408469166681,3.0,3.0,4.0,47.0,6.0
17031610100,15.6,0.0,4.93,21.0,0.7552290396762914,2.0,5.0,4.0,138.0,5.0
17031610300,15.6,10.0,8.91,14.0,1.0104425207691368,4.0,17.0,3.0,3112.0,87.0
17031581100,12.0,0.0,17.6,10.0,0.3732705487327076,3.0,13.0,3.0,259.0,20.0
17031590500,15.0,0.0,72.09,19.0,0.8213706619896605,2.0,7.0,1.0,145.0,26.0
17031590600,15.0,0.0,0.0,3.0,0.7515010601714944,2.0,5.0,1.0,75.0,8.0
17031570100,8.3,0.0,0.53,13.0,0.0,2.0,9.0,2.0,140.0,28.0
17031570200,8.3,0.0,0.49,14.0,0.0,2.0,8.0,1.0,374.0,34.0
17031580200,12.0,0.0,0.94,23.0,1.0102396652817007,0.0,6.0,1.0,176.0,21.0
17031560500,12.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,98.0,13.0
17031560700,12.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,190.0,25.0
17031560800,12.0,0.0,0.0,23.0,0.0,3.0,4.0,1.0,302.0,38.0
17031530400,26.0,0.0,5.5,14.0,2.174371638655243,3.0,6.0,1.0,87.0,7.0
17031520300,15.8,0.0,4.6499999999999995,14.0,1.022493148742278,2.0,3.0,0.0,220.0,51.0
17031520400,15.8,0.0,7.68,15.0,1.74192666211349,2.0,3.0,0.0,235.0,51.0
17031530300,26.0,70.0,42.1,19.0,2.3861055252031,3.0,8.0,2.0,176.0,12.0
