GEO_ID,Census Tract Name,% population (25+) with <9 years of education,% population (25+) with at least a high school diploma,Unemployment rate (civilian labor force 16+),% families below the poverty level,median home value,median gross rent,Median Family Income,% population below 150% of the poverty threshold,median monthly mortgage,% single-parent households with children < 18,% owner-occupied housing units,% occupied housing units without complete plumbing,% households without a motor vehicle,% households without a telephone,% households with >1 person per room,% employed persons (16+) in white-collar occupations,log ratio low-to-high income
1400000US17031010100,Census Tract 101; Cook County; Illinois,24,2975,6.2,13.7,340700,1168,74145,21.7,2464,,30.1,0.0,30.4,0.0,1.9,68.6,0.136
1400000US17031010201,Census Tract 102.01; Cook County; Illinois,629,3707,11.0,23.0,239900,1378,63056,33.0,1875,,31.1,0.0,29.8,3.4,13.4,43.1,0.007
1400000US17031010202,Census Tract 102.02; Cook County; Illinois,207,1734,10.5,25.2,338000,1323,53220,25.2,2188,,21.9,0.0,37.1,4.2,5.4,53.6,-0.226
1400000US17031010300,Census Tract 103; Cook County; Illinois,341,4867,6.0,8.7,248500,1431,73105,28.1,1956,,32.9,0.0,34.8,0.0,5.2,61.5,0.057
1400000US17031010400,Census Tract 104; Cook County; Illinois,0,2566,3.1,0.0,231100,1347,54083,0.0,1625,,22.2,0.0,45.1,1.1,0.0,58.1,-0.14
1400000US17031010501,Census Tract 105.01; Cook County; Illinois,176,2840,4.8,14.7,400300,1195,48833,23.8,3052,,16.0,1.1,52.5,1.1,0.0,65.2,-0.141
1400000US17031010502,Census Tract 105.02; Cook County; Illinois,43,1982,7.2,0.0,296100,1383,63125,0.0,1962,,23.9,0.7,37.9,0.0,2.8,62.9,-0.153
1400000US17031010503,Census Tract 105.03; Cook County; Illinois,97,1407,1.4,9.2,431800,1273,32443,16.9,-,,10.6,0.0,55.1,1.4,3.3,49.7,0.042
1400000US17031010600,Census Tract 106; Cook County; Illinois,114,4756,5.6,4.1,232100,1556,72500,4.1,1901,,42.5,0.0,40.3,0.0,1.7,64.8,-0.122
1400000US17031010701,Census Tract 107.01; Cook County; Illinois,386,2206,3.7,6.8,367200,1390,74813,24.6,2319,,50.5,0.0,13.6,0.5,7.4,60.1,0.032
1400000US17031010702,Census Tract 107.02; Cook County; Illinois,441,2376,9.6,10.4,230600,1415,61724,28.5,1862,,17.6,0.0,37.0,0.0,5.6,57.4,-0.32
1400000US17031020100,Census Tract 201; Cook County; Illinois,201,2888,7.0,18.9,237900,1411,64904,21.5,2226,,40.8,0.0,13.1,0.0,10.7,51.4,-0.196
1400000US17031020200,Census Tract 202; Cook County; Illinois,471,3858,8.4,2.7,425600,1398,120625,4.5,2527,,83.2,0.0,2.6,0.0,4.5,53.0,-0.151
1400000US17031020301,Census Tract 203.01; Cook County; Illinois,37,3386,9.9,12.3,219200,1336,78385,16.6,2435,,73.0,0.0,21.9,0.7,2.1,73.4,0.13
1400000US17031020302,Census Tract 203.02; Cook County; Illinois,57,3072,11.0,11.4,296300,1632,71250,26.2,2105,,62.7,0.0,11.2,0.9,2.3,64.7,-0.106
1400000US17031020400,Census Tract 204; Cook County; Illinois,174,2680,6.6,4.8,344200,1463,73790,17.0,2188,,48.7,0.0,12.5,0.0,5.7,45.6,-0.141
1400000US17031020500,Census Tract 205; Cook County; Illinois,443,3995,7.2,39.0,184300,1346,37819,53.4,1832,,32.1,3.7,28.7,0.0,12.3,40.1,-0.114
1400000US17031020601,Census Tract 206.01; Cook County; Illinois,554,2944,8.4,23.6,409300,1477,64127,38.8,2664,,39.1,0.0,21.0,0.7,9.9,56.7,-0.001
1400000US17031020602,Census Tract 206.02; Cook County; Illinois,367,2881,3.1,17.5,423000,1627,89663,22.6,2459,,62.7,0.0,12.8,0.0,6.2,52.9,0.049
1400000US17031020701,Census Tract 207.01; Cook County; Illinois,64,1253,4.4,3.3,459800,1719,108568,7.0,3056,,66.2,0.0,4.0,1.9,2.8,63.3,0.044
1400000US17031020702,Census Tract 207.02; Cook County; Illinois,668,4020,7.0,13.9,225900,1441,63906,20.6,2264,,49.0,0.0,16.3,6.2,12.3,43.2,-0.175
1400000US17031020801,Census Tract 208.01; Cook County; Illinois,121,3656,5.0,4.3,389400,1331,74931,17.7,2416,,43.0,0.0,5.9,2.2,5.2,43.2,0.152
1400000US17031020802,Census Tract 208.02; Cook County; Illinois,649,3754,10.9,16.4,450000,1500,68725,30.1,2794,,40.1,0.0,15.0,6.2,15.9,40.4,-0.235
1400000US17031020901,Census Tract 209.01; Cook County; Illinois,491,3095,5.9,12.3,219900,1518,56291,29.9,1341,,34.7,3.6,12.2,0.0,13.2,45.6,-0.098
1400000US17031020902,Census Tract 209.02; Cook County; Illinois,224,2751,5.7,15.8,122600,1323,45547,26.7,1451,,48.4,2.0,25.5,0.0,8.5,47.9,-0.042
1400000US17031030101,Census Tract 301.01; Cook County; Illinois,38,2951,17.3,10.1,274800,1267,48929,24.5,2606,,26.3,1.1,53.8,0.0,8.0,62.7,-0.077
1400000US17031030102,Census Tract 301.02; Cook County; Illinois,30,2456,5.7,3.7,232800,1199,59826,3.7,2305,,39.0,0.0,44.9,0.6,0.0,62.0,0.123
1400000US17031030103,Census Tract 301.03; Cook County; Illinois,28,1206,11.3,16.7,197500,1268,49545,23.7,1943,,28.5,0.0,47.7,6.4,7.4,55.8,0.0
1400000US17031030104,Census Tract 301.04; Cook County; Illinois,0,1237,15.9,13.4,162300,1505,41823,13.4,1883,,33.7,0.0,51.5,4.5,1.3,60.5,-0.106
1400000US17031030200,Census Tract 302; Cook County; Illinois,193,4219,5.0,5.2,527300,1588,108466,5.2,2858,,52.0,0.0,17.4,0.0,1.6,55.7,-0.032
1400000US17031030300,Census Tract 303; Cook County; Illinois,75,2221,4.6,8.8,379700,1124,68933,12.1,3019,,33.5,4.2,44.1,1.5,2.8,57.2,-0.042
