census_tract,Tree_Canopy,community_area_geoid,community_area_name,imputed
17031720500,40.5,72,Beverly,0
17031730200,21.4,73,Washington Heights,0
17031730300,21.4,73,Washington Heights,0
17031740100,18.6,74,Mount Greenwood,0
17031710500,18.7,71,Auburn Gresham,0
17031711200,18.7,71,Auburn Gresham,0
17031711300,18.7,71,Auburn Gresham,0
17031720200,40.5,72,Beverly,0
17031700400,15.3,70,Ashburn,0
17031710200,18.7,71,Auburn Gresham,0
17031681400,24.7,68,Englewood,0
17031690800,21.4,69,Greater Grand Crossing,0
17031691100,21.4,69,Greater Grand Crossing,0
17031691300,21.4,69,Greater Grand Crossing,0
17031680500,24.7,68,Englewood,0
17031681200,24.7,68,Englewood,0
17031670100,25.9,67,West Englewood,0
17031670600,25.9,67,West Englewood,0
17031670800,25.9,67,West Englewood,0
17031671300,25.9,67,West Englewood,0
17031650500,10.7,65,West Lawn,0
17031660200,18.5,66,Chicago Lawn,0
17031660700,18.5,66,Chicago Lawn,0
17031640400,8.8,64,Clearing,0
17031640600,8.8,64,Clearing,0
17031640700,8.8,64,Clearing,0
17031650400,10.7,65,West Lawn,0
17031630200,14.6,63,Gage Park,0
17031630300,14.6,63,Gage Park,0
17031630500,14.6,63,Gage Park,0
17031610500,15.6,61,New City,0
17031610600,15.6,61,New City,0
17031611100,15.6,61,New City,0
17031611500,15.6,61,New City,0
17031611900,15.6,61,New City,0
17031600700,13.0,60,Bridgeport,0
17031601200,13.0,60,Bridgeport,0
17031601600,13.0,60,Bridgeport,0
17031610100,15.6,61,New City,0
17031610300,15.6,61,New City,0
17031581100,12.0,58,Brighton Park,0
17031590500,15.0,59,McKinley Park,0
17031590600,15.0,59,McKinley Park,0
17031570100,8.3,57,Archer Heights,0
17031570200,8.3,57,Archer Heights,0
17031580200,12.0,58,Brighton Park,0
17031560500,12.0,56,Garfield Ridge,0
17031560700,12.0,56,Garfield Ridge,0
17031560800,12.0,56,Garfield Ridge,0
17031530400,26.0,53,West Pullman,0
17031520300,15.8,52,East Side,0
17031520400,15.8,52,East Side,0
17031530300,26.0,53,West Pullman,0
