"","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"1","G17000100001001","170010001001","65","6"
"2","G17000100001002","170010001002","81","8"
"3","G17000100001003","170010001003","87","9"
"4","G17000100001004","170010001004","83","8"
"5","G17000100001005","170010001005","81","8"
"6","G17000100002011","170010002011","83","8"
"7","G17000100002012","170010002012","85","9"
"8","G17000100002021","170010002021","GQ","GQ"
"9","G17000100002022","170010002022","83","8"
"10","G17000100002023","170010002023","87","9"
"11","G17000100004001","170010004001","97","10"
"12","G17000100004002","170010004002","98","10"
"13","G17000100004003","170010004003","98","10"
"14","G17000100004004","170010004004","GQ","GQ"
"15","G17000100005001","170010005001","93","10"
"16","G17000100005002","170010005002","92","9"
"17","G17000100006001","170010006001","79","8"
"18","G17000100006002","170010006002","74","7"
"19","G17000100006003","170010006003","80","8"
"20","G17000100006004","170010006004","55","5"
"21","G17000100006005","170010006005","49","4"
"22","G17000100007001","170010007001","90","9"
"23","G17000100007002","170010007002","93","10"
"24","G17000100008001","170010008001","99","10"
"25","G17000100008002","170010008002","100","10"
"26","G17000100008003","170010008003","99","10"
"27","G17000100009001","170010009001","92","9"
"28","G17000100009002","170010009002","88","9"
"29","G17000100010011","170010010011","85","9"
"30","G17000100010012","170010010012","86","9"
"31","G17000100010013","170010010013","84","8"
"32","G17000100010021","170010010021","85","9"
"33","G17000100010022","170010010022","74","7"
"34","G17000100011001","170010011001","78","8"
"35","G17000100011002","170010011002","66","6"
"36","G17000100011003","170010011003","51","4"
"37","G17000100011004","170010011004","42","3"
"38","G17000100101001","170010101001","84","8"
"39","G17000100101002","170010101002","78","8"
"40","G17000100101003","170010101003","78","8"
"41","G17000100101004","170010101004","75","7"
"42","G17000100102001","170010102001","80","8"
"43","G17000100102002","170010102002","80","8"
"44","G17000100102003","170010102003","85","9"
"45","G17000100102004","170010102004","90","9"
"46","G17000100103011","170010103011","78","8"
"47","G17000100103012","170010103012","56","5"
"48","G17000100103013","170010103013","62","6"
"49","G17000100103021","170010103021","70","7"
"50","G17000100103022","170010103022","73","7"
"51","G17000100103023","170010103023","85","9"
"52","G17000100104001","170010104001","59","5"
"53","G17000100104002","170010104002","56","5"
"54","G17000100104003","170010104003","67","6"
"55","G17000100105001","170010105001","62","6"
"56","G17000100105002","170010105002","59","5"
"57","G17000100106001","170010106001","61","6"
"58","G17000100106002","170010106002","51","4"
"59","G17000100106003","170010106003","68","6"
"60","G17000100106004","170010106004","67","6"
"61","G17000309576001","170039576001","94","10"
"62","G17000309576002","170039576002","79","8"
"63","G17000309576003","170039576003","99","10"
"64","G17000309577001","170039577001","90","9"
"65","G17000309577002","170039577002","98","10"
"66","G17000309578001","170039578001","100","10"
"67","G17000309578002","170039578002","99","10"
"68","G17000309579001","170039579001","100","10"
"69","G17000309579002","170039579002","100","10"
"70","G17000509512001","170059512001","66","6"
"71","G17000509512002","170059512002","57","5"
"72","G17000509512003","170059512003","95","10"
"73","G17000509513001","170059513001","83","8"
"74","G17000509513002","170059513002","84","8"
"75","G17000509513003","170059513003","GQ","GQ"
"76","G17000509513004","170059513004","88","9"
"77","G17000509513005","170059513005","GQ","GQ"
"78","G17000509514001","170059514001","92","9"
"79","G17000509514002","170059514002","75","7"
"80","G17000509514003","170059514003","79","8"
"81","G17000509515001","170059515001","92","9"
"82","G17000509515002","170059515002","69","7"
"83","G17000509515003","170059515003","56","5"
"84","G17000509515004","170059515004","84","8"
"85","G17000700101011","170070101011","72","7"
"86","G17000700101012","170070101012","75","7"
"87","G17000700101021","170070101021","74","7"
"88","G17000700101022","170070101022","73","7"
"89","G17000700101023","170070101023","94","10"
"90","G17000700102001","170070102001","80","8"
"91","G17000700102002","170070102002","88","9"
"92","G17000700102003","170070102003","73","7"
"93","G17000700103001","170070103001","82","8"
"94","G17000700103002","170070103002","89","9"
"95","G17000700103003","170070103003","85","9"
"96","G17000700103004","170070103004","93","10"
"97","G17000700104001","170070104001","71","7"
"98","G17000700104002","170070104002","52","5"
"99","G17000700104003","170070104003","56","5"
"100","G17000700104004","170070104004","46","4"
"101","G17000700105011","170070105011","26","2"
"102","G17000700105012","170070105012","28","2"
"103","G17000700105021","170070105021","64","6"
"104","G17000700105022","170070105022","51","4"
"105","G17000700105023","170070105023","43","3"
"106","G17000700106011","170070106011","31","2"
"107","G17000700106012","170070106012","48","4"
"108","G17000700106013","170070106013","69","7"
"109","G17000700106031","170070106031","50","4"
"110","G17000700106032","170070106032","30","2"
"111","G17000700106033","170070106033","38","3"
"112","G17000700106034","170070106034","37","3"
"113","G17000700106041","170070106041","79","8"
"114","G17000700106042","170070106042","72","7"
"115","G17000700106043","170070106043","62","6"
"116","G17000909704001","170099704001","75","7"
"117","G17000909704002","170099704002","73","7"
"118","G17000909704003","170099704003","76","7"
"119","G17000909705001","170099705001","83","8"
"120","G17000909705002","170099705002","GQ","GQ"
"121","G17000909705003","170099705003","88","9"
"122","G17001109647001","170119647001","76","7"
"123","G17001109647002","170119647002","77","7"
"124","G17001109647003","170119647003","88","9"
"125","G17001109647004","170119647004","91","9"
"126","G17001109648001","170119648001","90","9"
"127","G17001109648002","170119648002","86","9"
"128","G17001109648003","170119648003","60","5"
"129","G17001109648004","170119648004","81","8"
"130","G17001109649001","170119649001","86","9"
"131","G17001109649002","170119649002","81","8"
"132","G17001109649003","170119649003","91","9"
"133","G17001109650001","170119650001","75","7"
"134","G17001109650002","170119650002","88","9"
"135","G17001109650003","170119650003","97","10"
"136","G17001109650004","170119650004","91","9"
"137","G17001109650005","170119650005","94","10"
"138","G17001109651001","170119651001","75","7"
"139","G17001109651002","170119651002","85","9"
"140","G17001109651003","170119651003","81","8"
"141","G17001109652001","170119652001","83","8"
"142","G17001109652002","170119652002","88","9"
"143","G17001109652003","170119652003","84","8"
"144","G17001109652004","170119652004","73","7"
"145","G17001109653001","170119653001","87","9"
"146","G17001109653002","170119653002","81","8"
"147","G17001109653003","170119653003","84","8"
"148","G17001109654001","170119654001","82","8"
"149","G17001109654002","170119654002","86","9"
"150","G17001109654003","170119654003","73","7"
"151","G17001109655001","170119655001","91","9"
"152","G17001109655002","170119655002","47","4"
"153","G17001109655003","170119655003","90","9"
"154","G17001109655004","170119655004","54","5"
"155","G17001109656001","170119656001","76","7"
"156","G17001109656002","170119656002","86","9"
"157","G17001109656003","170119656003","89","9"
"158","G17001109656004","170119656004","91","9"
"159","G17001309512001","170139512001","72","7"
"160","G17001309512002","170139512002","82","8"
"161","G17001309512003","170139512003","82","8"
"162","G17001309513001","170139513001","51","4"
"163","G17001309513002","170139513002","58","5"
"164","G17001509601001","170159601001","51","4"
"165","G17001509601002","170159601002","87","9"
"166","G17001509601003","170159601003","86","9"
"167","G17001509601004","170159601004","89","9"
"168","G17001509602001","170159602001","71","7"
"169","G17001509602002","170159602002","77","7"
"170","G17001509603001","170159603001","96","10"
"171","G17001509603002","170159603002","98","10"
"172","G17001509603003","170159603003","92","9"
"173","G17001509603004","170159603004","97","10"
"174","G17001509604001","170159604001","92","9"
"175","G17001509604002","170159604002","95","10"
"176","G17001509604003","170159604003","89","9"
"177","G17001509605001","170159605001","82","8"
"178","G17001509605002","170159605002","88","9"
"179","G17001509605003","170159605003","86","9"
"180","G17001509606001","170159606001","86","9"
"181","G17001509606002","170159606002","GQ","GQ"
"182","G17001709601001","170179601001","92","9"
"183","G17001709601002","170179601002","91","9"
"184","G17001709601003","170179601003","89","9"
"185","G17001709602001","170179602001","90","9"
"186","G17001709602002","170179602002","89","9"
"187","G17001709602003","170179602003","84","8"
"188","G17001709603001","170179603001","50","4"
"189","G17001709603002","170179603002","82","8"
"190","G17001709603003","170179603003","95","10"
"191","G17001709604001","170179604001","90","9"
"192","G17001709604002","170179604002","97","10"
"193","G17001709605001","170179605001","89","9"
"194","G17001709605002","170179605002","91","9"
"195","G17001709605003","170179605003","94","10"
"196","G17001900002001","170190002001","97","10"
"197","G17001900002002","170190002002","97","10"
"198","G17001900003011","170190003011","83","8"
"199","G17001900003012","170190003012","83","8"
"200","G17001900003013","170190003013","83","8"
"201","G17001900003021","170190003021","QDI","QDI"
"202","G17001900003022","170190003022","QDI","QDI"
"203","G17001900003023","170190003023","77","7"
"204","G17001900004011","170190004011","GQ","GQ"
"205","G17001900004012","170190004012","GQ","GQ"
"206","G17001900004021","170190004021","82","8"
"207","G17001900004022","170190004022","82","8"
"208","G17001900005001","170190005001","73","7"
"209","G17001900005002","170190005002","41","3"
"210","G17001900005003","170190005003","56","5"
"211","G17001900005004","170190005004","54","5"
"212","G17001900007001","170190007001","94","10"
"213","G17001900007002","170190007002","94","10"
"214","G17001900007003","170190007003","93","10"
"215","G17001900008001","170190008001","70","7"
"216","G17001900008002","170190008002","73","7"
"217","G17001900008003","170190008003","67","6"
"218","G17001900008004","170190008004","69","7"
"219","G17001900009011","170190009011","91","9"
"220","G17001900009012","170190009012","91","9"
