"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","4905",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","6939",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","2742",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","6305",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","5079",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","4206",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","3278",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","2565",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","6225",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","3673",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","4776",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","4202",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","7128",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","5261",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","5010",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","4435",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","6599",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","6699",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","4662",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","1879",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","7717",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","5648",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","7546",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","5848",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","4488",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","3687",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","3121",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","2104",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","3521",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","5627",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","3148",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","2597",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","6183",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","3293",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","2045",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","3737",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","1671",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","2318",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","3075",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","2933",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","4284",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","2952",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","3868",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","4691",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","5541",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","6719",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","5221",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","4155",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","4712",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","6294",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","1910",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","2522",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","7543",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","3905",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","6408",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","7318",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","2928",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","3129",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","4746",
