OBJECTID,SgmtEnd1,SgmtEnd2,Street,Owner,Manager,Miles,FacName,Sub_System,TrailType,TrailSurfa,Editor,Edtdate,Muni,TrailWdth,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Status,ShapeSTLength
1,,McCormick Ave,,CC FPD,CC FPD,0.12337118,Salt Creek,,Trail,Asphalt,,,Brookfield,8-10 ft,PETERDIRKS,2021/12/09 15:42:52+00,PETERDIRKS,2021/12/09 15:42:52+00,{DFBF9E94-0B23-42E6-8156-2E0CCBAF4443},Existing,651.399850013866
2,Traditions Dr,Vollmer Rd,Crawford Ave,,Olympia Fields,0.11978236,,,Sidepath,Asphalt,,,Olympia Fields,8-10 ft,PETERDIRKS,2022/01/06 21:55:07+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{A9E40AB0-FAC4-45BD-B58F-76D14ED9CB36},Existing,632.450860639181
3,203rd St,Traditions Dr,Crawford Ave,,Olympia Fields,0.34684433,,,Sidepath,Asphalt,,,Olympia Fields,8-10 ft,PETERDIRKS,2022/01/06 21:55:07+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{A6C67852-4463-4861-8187-9F955DD5C61A},Existing,1831.3380828093
4,Crawford Ave,Governors Hwy,203rd St,,Olympia Fields,0.47771253,,,Sidepath,Asphalt,,,Olympia Fields,8-10 ft,PETERDIRKS,2022/01/06 21:55:07+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{E83D3EAE-4462-4D6E-831D-EA50FDD4ACFE},Existing,2522.32216378193
5,Governors Hwy,Kedzie Ave,203rd St,,Olympia Fields,0.49168607,,,Sidepath,Asphalt,,,Olympia Fields,8-10 ft,PETERDIRKS,2022/01/06 21:55:07+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{1B362C7B-D625-422F-B442-23B639320421},Existing,2596.10243636412
6,Kedzie Ave,,203rd St,,Olympia Fields,0.14826442,,,Sidepath,Asphalt,,,Olympia Fields,8-10 ft,PETERDIRKS,2022/01/06 21:55:07+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{392E58C1-3473-4AA1-A3E8-D054AC977EB9},Existing,782.836162882798
7,,,Kedzie Ave,,Olympia Fields,0.01458229,,,Road Crossing,Asphalt,,,Olympia Fields,8-10 ft,PETERDIRKS,2022/01/07 15:13:04+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{D414C706-53B7-4C17-98CE-29EAF4FAB8ED},Existing,76.9945
8,,,Governors Hwy,,Olympia Fields,0.02025564,,,Road Crossing,Asphalt,,,Olympia Fields,8-10 ft,PETERDIRKS,2022/01/07 15:13:04+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{54FEB24E-5112-469D-AEE4-055A7DD5D4A8},Existing,106.949802822764
9,,,Traditions Dr,,Olympia Fields,0.01134357,,,Road Crossing,Asphalt,,,Olympia Fields,8-10 ft,PETERDIRKS,2022/01/07 15:13:04+00,MATTHEWKRAUSE,2024/07/11 13:58:16+00,{72D24B71-4D7F-4CE0-9BAB-49935718F7AA},Existing,59.8940473097338
10,,,Oakton St,Elk Grove Village,Elk Grove Village,0.15467717,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 19:32:00+00,{05BE49CC-BC94-4F60-9F34-2D817A8069C7},Existing,816.69545611323
11,,,Innovation Dr,Elk Grove Village,Elk Grove Village,0.25809155,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 20:28:55+00,{648AD5C5-E04E-4011-9674-C7AC8828C759},Existing,1362.72338094704
12,,,Oakton St,Elk Grove Village,Elk Grove Village,0.13432599,,,Sidepath,Asphalt,,,Elk Grove Village,8 ft,PETERDIRKS,2022/03/29 19:32:00+00,BENETHALLER,2025/08/19 19:57:36+00,{8BDE6B1D-5A81-4964-8093-9D86C4DBDB9B},Existing,1205.36256957589
14,,,Busse Rd,IDOT,Elk Grove Village,0.02931992,,,Road Crossing,Asphalt,,,Elk Grove Village,10 ft,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 19:51:38+00,{58D65423-8F8E-4426-95B1-39ADC9C0EBF6},Existing,154.80919894023
15,,,Busse Rd,IDOT,Elk Grove Village,0.15330011,,,Sidepath,Asphalt,,,Elk Grove Village,10 ft,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 19:32:00+00,{66796B53-26FB-4DFF-8AAB-507368222486},Existing,809.424587624432
16,,,na,Arlington Heights,Arlington Heights,0.0262705,,,Trail,Asphalt,,,Arlington Heights,10 feet,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 19:32:00+00,{EFD9D662-5370-405E-9A8F-9E5D205C45FF},Existing,138.708220640712
17,,,na,Arlington Heights,Arlington Heights,0.00905461,,,Trail,Asphalt,,,Arlington Heights,10 feet,PETERDIRKS,2022/03/29 19:32:00+00,PETERDIRKS,2022/03/29 19:32:00+00,{0BA71746-BB8D-42E3-B77D-E325983B2216},Existing,47.8083469140719
