row_id,id,address,city,state,zip
1,Lawndale Acad,3500 W Douglas Bl,Chicago,IL,
2,Joyner CPC,1315 S Blue Island Av,Chicago,IL,
3,Armour Br,911 W 32nd Pl,Chicago,IL,
4,Johnson,1420 S Albany Av,Chicago,IL,
5,Herzl,3711 W Douglas Bl,Chicago,IL,
6,Lathrop,1440 S Christiana Av,Chicago,IL,
7,Plamondon,2642 W 15th Pl,Chicago,IL,
8,Hughes CE,4247 W 15th St,Chicago,IL,
9,Pilsen Community Acad,1420 W 17th St,Chicago,IL,
10,Jungman,1746 S Miller St,Chicago,IL,
11,Howland,1616 S Spaulding Av,Chicago,IL,
12,Dvorak Acad,3615 W 16th St,Chicago,IL,
13,Penn,1616 S Avers Av,Chicago,IL,
14,Mason,4217 W 18th St,Chicago,IL,
15,Cooper,1624 W 19th St,Chicago,IL,
16,Pope,1852 S Albany Av,Chicago,IL,
17,Perez,1241 W 19th St,Chicago,IL,
18,Juarez H S,2150 S Laflin St,Chicago,IL,
19,Pickard,2301 W 21st Pl,Chicago,IL,
20,De La Cruz,2317 W 23rd Pl,Chicago,IL,
21,Telpochalli,2832 W 24th Bl,Chicago,IL,
22,Cardenas,2345 S Millard Av,Chicago,IL,
23,Ruiz,2410 S Leavitt St,Chicago,IL,
24,Castellanos School,2524 S Central Park Av,Chicago,IL,
25,Corkery,2510 S Kildare Av,Chicago,IL,
26,Drake,2722 S Dr Martin Luther King Jr Dr,Chicago,IL,
27,Williams,2710 S Dearborn St,Chicago,IL,
28,Gary,3740 W 31st St,Chicago,IL,
29,Graham,4436 S Union Av,Chicago,IL,
30,Gunsaulus Acad,4420 S Sacramento Av,Chicago,IL,
31,Lara Acad,4619 S Wolcott Av,Chicago,IL,
32,Beethoven,25 W 47th St,Chicago,IL,
33,Hearst,4640 S Lamon Av,Chicago,IL,
34,Hamline,4747 S Bishop St,Chicago,IL,
35,Chavez,4747 S Marshfield Av,Chicago,IL,
36,Hedges,4735 S Winchester Av,Chicago,IL,
37,Overton,221 E 49th St,Chicago,IL,
38,DuSable HS,4934 S Wabash Av,Chicago,IL,
39,Edwards,4815 S Karlov Av,Chicago,IL,
40,Canter Middle,4959 S Blackstone Av,Chicago,IL,
41,Reavis,834 E 50th St,Chicago,IL,
42,Kenwood Acad HS,5015 S Blackstone Av,Chicago,IL,
43,Big Picture at Chavez,4946 S Paulina St,Chicago,IL,
44,Richards HS,5009 S Laflin St,Chicago,IL,
45,Curie HS,4959 S Archer Av,Chicago,IL,
46,Daley Acad,5024 S Wolcott Av,Chicago,IL,
47,Christopher,5042 S Artesian Av,Chicago,IL,
48,Dyett Middle,555 E 51st St,Chicago,IL,
49,Parkman,245 W 51st St,Chicago,IL,
50,Beasley,5255 S State St,Chicago,IL,
51,Murray Language Acad,5335 S Kenwood Av,Chicago,IL,
52,Kozminski Com Acad,936 E 54th St,Chicago,IL,
53,Nightingale,5250 S Rockwell St,Chicago,IL,
54,St Helen,2347 W Augusta Bl,Chicago,IL,
55,St Nicholas Ukrainian,2200 W Rice St,Chicago,IL,
56,Burke,5356 S Dr Martin Luther King Jr Dr,Chicago,IL,
57,Sawyer,5248 S Sawyer Av,Chicago,IL,
58,Cardenas Modular,2406 S Central Park Av,Chicago,IL,
59,Libby,5300 S Loomis Bl,Chicago,IL,
60,Fulton,5300 S Hermitage Av,Chicago,IL,
61,Dewey,5415 S Union Av,Chicago,IL,
62,Byrne,5329 S Oak Park Av,Chicago,IL,
63,Mays Acad,1800 W Garfield Bl,Chicago,IL,
64,Harte,1556 E 56th St,Chicago,IL,
65,Hope College Prep,5515 S Lowe Av,Chicago,IL,
66,Holmes,955 W Garfield Bl,Chicago,IL,
67,Carson,5516 S Maplewood Av,Chicago,IL,
68,Sandoval School,5534 S St Louis Av,Chicago,IL,
69,Gage Park HS,5630 S Rockwell St,Chicago,IL,
70,Henderson,5650 S Wolcott Av,Chicago,IL,
71,Carter,5740 S Michigan Av,Chicago,IL,
72,Kennedy HS,6325 W 56th St,Chicago,IL,
73,Bontemps,1241 W 58th St,Chicago,IL,
74,Peck,3826 W 58th St,Chicago,IL,
75,Lindblom Tech HS,6130 S Wolcott Av,Chicago,IL,
76,Englewood HS,6201 S Stewart Av,Chicago,IL,
77,Goodlow Magnet,2040 W 62nd St,Chicago,IL,
78,Fairfield Academy,6201 S Fairfield Av,Chicago,IL,
79,Dulles,6311 S Calumet Av,Chicago,IL,
80,Dore,6108 S Natoma Av,Chicago,IL,
81,Hale,6140 S Melvina Av,Chicago,IL,
82,Hubbard HS,6200 S Hamlin Av,Chicago,IL,
83,Reed,6350 S Stewart Av,Chicago,IL,
84,Anderson Community Acad,6315 S Claremont Av,Chicago,IL,
85,Kershaw,6450 S Lowe Av,Chicago,IL,
86,McCosh,6543 S Champlain Av,Chicago,IL,
87,Blair,6751 W 63rd Pl,Chicago,IL,
88,Harper HS,6520 S Wood St,Chicago,IL,
89,Bunche,6515 S Ashland Av,Chicago,IL,
90,Lee,6448 S Tripp Av,Chicago,IL,
91,Grimes,5450 W 64th Pl,Chicago,IL,
92,Marquette West,6550 S Richmond St,Chicago,IL,
93,O'Toole,6550 S Seeley Av,Chicago,IL,
94,Eberhart,3400 W 65th Pl,Chicago,IL,
95,Dumas,6650 S Ellis Av,Chicago,IL,
96,Banneker,6656 S Normal Bl,Chicago,IL,
97,MAYS,838 W Marquette Rd,Chicago,IL,
98,Brownell,6741 S Michigan Av,Chicago,IL,
99,Davies Acad,6723 S Wood St,Chicago,IL,
100,Robeson,6835 S Normal Blvd,Chicago,IL,
101,Parkside Acad,6938 S East End Av,Chicago,IL,
102,Okeeffe,6940 S Merrill Av,Chicago,IL,
103,Fermi,1415 E 70th St,Chicago,IL,
104,McKay,6901 S Fairfield Av,Chicago,IL,
105,Johns Acad,6936 S Hermitage Av,Chicago,IL,
106,Park Manor,7037 S Rhodes Av,Chicago,IL,
107,Hurley,3849 W 69th Pl,Chicago,IL,
108,Bond,7050 S May St,Chicago,IL,
109,Hinton,644 W 71st St,Chicago,IL,
110,Altgeld,1340 W 71st St,Chicago,IL,
111,Revere,1010 E 72nd St,Chicago,IL,
112,Guggenheim,7141 S Morgan St,Chicago,IL,
113,Deneen,7240 S Wabash Av,Chicago,IL,
114,Bouchet Alexander,7355 S Jeffery Bl,Chicago,IL,
115,Tanner,7350 S Evans Av,Chicago,IL,
116,Randolph Magnet,7316 S Hoyne Av,Chicago,IL,
117,Powell,7530 S South Shore Dr,Chicago,IL,
118,Madison,7433 S Dorchester Av,Chicago,IL,
119,Harvard,7525 S Harvard Av,Chicago,IL,
120,Bradwell,7736 S Burnham Av,Chicago,IL,
121,Hirsch Metro HS,7740 S Ingleside Av,Chicago,IL,
122,Oglesby,7646 S Green St,Chicago,IL,
123,Barton,7650 S Wolcott Av,Chicago,IL,
124,Ruggles,7831 S Prairie Av,Chicago,IL,
125,Joplin,7931 S Honore St,Chicago,IL,
126,Mann,8050 S Chappel Av,Chicago,IL,
127,Avalon Park,8045 S Kenwood Av,Chicago,IL,
128,Bogan Tech HS,3939 W 79th St,Chicago,IL,
129,Lenart,8101 S La Salle St,Chicago,IL,
130,Stevenson,8010 S Kostner Av,Chicago,IL,
131,Calumet HS,8131 S May St,Chicago,IL,
132,Cook,8150 S Bishop St,Chicago,IL,
133,Dawes,3810 W 81st Pl,Chicago,IL,
134,Heroes Magnet,8344 S Commercial Av,Chicago,IL,
135,Dixon,8306 S St Lawrence Av,Chicago,IL,
136,Las Casas,8401 S Saginaw Av,Chicago,IL,
137,Owen,8247 S Christiana Av,Chicago,IL,
138,Coles,8441 S Yates Bl,Chicago,IL,
139,Carroll,2929 W 83rd St,Chicago,IL,
140,Ashburn,8300 S St Louis Av,Chicago,IL,
141,Morgan,8407 S Kerfoot Av,Chicago,IL,
142,Pirie,650 E 85th St,Chicago,IL,
143,Ashe,8505 S Ingleside Av,Chicago,IL,
144,Chicago Vocational HS,2100 E 87th St,Chicago,IL,
145,Neil,8555 S Michigan Av,Chicago,IL,
146,Von Humboldt CPC,1345 N Rockwell St,Chicago,IL,
147,Daystar School,800 S Wells St,Chicago,IL,
148,Lozano Annex,1501 N Greenview Av,Chicago,IL,
149,Caldwell,8546 S Cregier Av,Chicago,IL,
150,Gresham,8524 S Green St,Chicago,IL,
151,Durkin Park,8445 S Kolin Av,Chicago,IL,
152,Foster Park,8530 S Wood St,Chicago,IL,
153,Bowen,2710 E 89th St,Chicago,IL,
154,Ryder,8716 S Wallace St,Chicago,IL,
155,McDade Classical,8801 S Indiana Av,Chicago,IL,
156,Jackson Mahalia,917 W 88th St,Chicago,IL,
157,Hoyne,8905 S Crandon Av,Chicago,IL,
158,McDowell,1419 E 89th St,Chicago,IL,
159,Mireles Acad,9000 S Exchange Av,Chicago,IL,
160,Fort Dearborn,9025 S Throop St,Chicago,IL,
161,Davies Development Center,9101 S Jeffery Av,Chicago,IL,
162,Black Magnet,9101 S Euclid Av,Chicago,IL,
163,Burnside Acad,650 E 91st Pl,Chicago,IL,
164,Buckingham,9207 S Phillips Av,Chicago,IL,
165,Earhart,1710 E 93rd St,Chicago,IL,
166,Gillespie,9301 S State St,Chicago,IL,
167,Kellogg,9241 S Leavitt St,Chicago,IL,
168,Kipling,9351 S Lowe Av,Chicago,IL,
169,Chicago International-Longwood,1309 W 95th St,Chicago,IL,
170,Burham Acad,1903 E 96th St,Chicago,IL,
171,Wheatley CPC,902 E 133rd Pl,Chicago,IL,
172,Tonti Br,4950 S Laporte Av,Chicago,IL,
173,Chicago International-Prairie,11530 S Prairie Av,Chicago,IL,
174,Higgins Acad,11710 S Morgan St,Chicago,IL,
175,Gompers,12302 S State St,Chicago,IL,
176,Metcalfe Acad,12339 S Normal Av,Chicago,IL,
177,Owens Acad,12450 S State St,Chicago,IL,
