Layer,Name,GEOID,ADI_2023
,,,"Area Deprivation Index, 2023"
Census tract,Tract 101,17031010100,45.333333333333336
Census tract,Tract 102.01,17031010201,62.5
Census tract,Tract 102.02,17031010202,63.0
Census tract,Tract 103,17031010300,48.75
Census tract,Tract 104,17031010400,67.0
Census tract,Tract 105.01,17031010501,66.33333333333333
Census tract,Tract 105.02,17031010502,54.0
Census tract,Tract 105.03,17031010503,33.0
Census tract,Tract 106,17031010600,53.0
Census tract,Tract 107.01,17031010701,41.0
Census tract,Tract 107.02,17031010702,67.0
Census tract,Tract 201,17031020100,56.5
Census tract,Tract 202,17031020200,29.75
Census tract,Tract 203.01,17031020301,47.333333333333336
Census tract,Tract 203.02,17031020302,44.666666666666664
Census tract,Tract 204,17031020400,39.0
Census tract,Tract 205,17031020500,76.0
Census tract,Tract 206.01,17031020601,50.0
Census tract,Tract 206.02,17031020602,30.5
Census tract,Tract 207.01,17031020701,26.0
Census tract,Tract 207.02,17031020702,62.0
Census tract,Tract 208.01,17031020801,35.5
Census tract,Tract 208.02,17031020802,36.75
Census tract,Tract 209.01,17031020901,70.0
Census tract,Tract 209.02,17031020902,88.5
Census tract,Tract 301.01,17031030101,61.0
Census tract,Tract 301.02,17031030102,60.333333333333336
Census tract,Tract 301.03,17031030103,68.5
Census tract,Tract 301.04,17031030104,88.0
Census tract,Tract 302,17031030200,25.75
Census tract,Tract 303,17031030300,50.0
Census tract,Tract 304,17031030400,25.0
Census tract,Tract 305,17031030500,35.0
Census tract,Tract 306.01,17031030601,59.0
Census tract,Tract 306.03,17031030603,54.5
Census tract,Tract 306.04,17031030604,63.0
Census tract,Tract 307.01,17031030701,52.0
Census tract,Tract 307.02,17031030702,71.0
Census tract,Tract 307.03,17031030703,53.0
Census tract,Tract 307.06,17031030706,37.5
Census tract,Tract 308,17031030800,24.0
Census tract,Tract 309,17031030900,25.5
Census tract,Tract 310,17031031000,33.333333333333336
Census tract,Tract 311,17031031100,29.0
Census tract,Tract 312,17031031200,56.0
Census tract,Tract 313,17031031300,56.0
Census tract,Tract 314,17031031400,50.8
Census tract,Tract 315.01,17031031501,46.0
Census tract,Tract 315.02,17031031502,57.0
Census tract,Tract 317,17031031700,28.5
Census tract,Tract 318,17031031800,28.0
Census tract,Tract 319,17031031900,27.0
Census tract,Tract 321,17031032100,51.8
Census tract,Tract 401,17031040100,19.333333333333332
Census tract,Tract 402.01,17031040201,23.75
Census tract,Tract 402.02,17031040202,51.0
Census tract,Tract 403,17031040300,30.666666666666668
Census tract,Tract 404.01,17031040401,25.75
Census tract,Tract 404.02,17031040402,38.8
Census tract,Tract 406,17031040600,7.666666666666667
Census tract,Tract 407,17031040700,32.0
Census tract,Tract 408,17031040800,23.0
Census tract,Tract 409,17031040900,12.0
Census tract,Tract 501,17031050100,22.5
Census tract,Tract 502,17031050200,14.333333333333334
Census tract,Tract 503,17031050300,11.666666666666666
Census tract,Tract 505,17031050500,5.4
Census tract,Tract 506,17031050600,17.0
Census tract,Tract 507,17031050700,10.0
Census tract,Tract 508,17031050800,4.0
Census tract,Tract 509,17031050900,8.0
Census tract,Tract 510,17031051000,9.0
Census tract,Tract 511,17031051100,8.0
Census tract,Tract 512,17031051200,7.0
Census tract,Tract 513,17031051300,7.5
Census tract,Tract 514,17031051400,16.0
Census tract,Tract 601,17031060100,12.0
Census tract,Tract 602,17031060200,16.0
Census tract,Tract 603,17031060300,9.5
Census tract,Tract 604,17031060400,13.0
Census tract,Tract 605,17031060500,9.0
Census tract,Tract 608,17031060800,54.0
Census tract,Tract 609,17031060900,55.8
Census tract,Tract 610,17031061000,18.0
Census tract,Tract 611,17031061100,16.0
Census tract,Tract 612,17031061200,8.0
Census tract,Tract 615,17031061500,13.0
Census tract,Tract 618,17031061800,29.0
Census tract,Tract 619.01,17031061901,50.0
Census tract,Tract 619.02,17031061902,32.333333333333336
Census tract,Tract 620,17031062000,32.5
Census tract,Tract 621,17031062100,14.333333333333334
Census tract,Tract 622,17031062200,10.5
Census tract,Tract 623,17031062300,3.0
Census tract,Tract 624,17031062400,8.0
Census tract,Tract 625,17031062500,16.0
Census tract,Tract 626,17031062600,7.0
Census tract,Tract 627,17031062700,12.0
Census tract,Tract 628,17031062800,11.0
Census tract,Tract 629,17031062900,9.0
Census tract,Tract 630,17031063000,23.0
Census tract,Tract 631,17031063100,16.0
Census tract,Tract 632,17031063200,43.5
Census tract,Tract 633.01,17031063301,38.333333333333336
Census tract,Tract 633.02,17031063302,30.5
Census tract,Tract 633.03,17031063303,37.0
Census tract,Tract 634,17031063400,13.5
Census tract,Tract 701.01,17031070101,31.333333333333332
Census tract,Tract 701.02,17031070102,31.333333333333332
Census tract,Tract 701.03,17031070103,46.0
Census tract,Tract 702,17031070200,12.666666666666666
Census tract,Tract 703,17031070300,9.0
Census tract,Tract 704,17031070400,5.666666666666667
Census tract,Tract 705,17031070500,7.333333333333333
Census tract,Tract 706,17031070600,7.5
Census tract,Tract 707,17031070700,12.5
Census tract,Tract 710,17031071000,4.0
Census tract,Tract 711,17031071100,2.0
Census tract,Tract 712,17031071200,8.5
Census tract,Tract 713,17031071300,13.5
Census tract,Tract 714,17031071400,18.75
Census tract,Tract 715,17031071500,24.0
Census tract,Tract 716,17031071600,2.0
Census tract,Tract 717,17031071700,7.0
Census tract,Tract 718,17031071800,5.0
Census tract,Tract 801,17031080100,12.0
Census tract,Tract 802.01,17031080201,38.666666666666664
Census tract,Tract 802.02,17031080202,36.666666666666664
Census tract,Tract 803,17031080300,16.5
Census tract,Tract 804,17031080400,13.0
Census tract,Tract 810,17031081000,13.0
Census tract,Tract 811,17031081100,25.666666666666668
Census tract,Tract 812.01,17031081201,11.333333333333334
Census tract,Tract 812.02,17031081202,16.0
Census tract,Tract 813,17031081300,23.166666666666668
Census tract,Tract 814.01,17031081401,35.0
Census tract,Tract 814.02,17031081402,13.333333333333334
Census tract,Tract 814.03,17031081403,20.666666666666668
Census tract,Tract 815,17031081500,21.666666666666668
Census tract,Tract 816,17031081600,16.5
Census tract,Tract 817,17031081700,25.5
Census tract,Tract 818,17031081800,18.75
Census tract,Tract 819,17031081900,12.0
Census tract,Tract 901,17031090100,25.75
Census tract,Tract 902,17031090200,22.4
Census tract,Tract 903,17031090300,21.0
Census tract,Tract 1001,17031100100,27.75
Census tract,Tract 1002,17031100200,30.571428571428573
Census tract,Tract 1003,17031100300,30.0
Census tract,Tract 1004,17031100400,28.0
Census tract,Tract 1005,17031100500,34.0
Census tract,Tract 1006,17031100600,37.25
Census tract,Tract 1007,17031100700,29.6
Census tract,Tract 1101,17031110100,31.0
Census tract,Tract 1102,17031110200,43.5
Census tract,Tract 1103,17031110300,31.8
Census tract,Tract 1104,17031110400,37.333333333333336
Census tract,Tract 1105.01,17031110501,32.75
Census tract,Tract 1105.02,17031110502,52.0
Census tract,Tract 1201,17031120100,15.25
Census tract,Tract 1202,17031120200,14.25
Census tract,Tract 1203,17031120300,20.166666666666668
Census tract,Tract 1204,17031120400,29.333333333333332
Census tract,Tract 1301,17031130100,37.333333333333336
Census tract,Tract 1302,17031130200,36.0
Census tract,Tract 1303,17031130300,30.25
Census tract,Tract 1401,17031140100,31.5
Census tract,Tract 1402,17031140200,51.0
Census tract,Tract 1403.01,17031140301,38.5
Census tract,Tract 1403.02,17031140302,46.333333333333336
Census tract,Tract 1404,17031140400,29.8
Census tract,Tract 1405,17031140500,36.666666666666664
Census tract,Tract 1406.01,17031140601,36.0
Census tract,Tract 1406.02,17031140602,43.5
Census tract,Tract 1407.01,17031140701,36.0
Census tract,Tract 1407.02,17031140702,35.25
Census tract,Tract 1408,17031140800,19.2
Census tract,Tract 1502,17031150200,33.4
Census tract,Tract 1503,17031150300,40.142857142857146
Census tract,Tract 1504.01,17031150401,39.75
Census tract,Tract 1504.02,17031150402,33.666666666666664
Census tract,Tract 1505.01,17031150501,33.333333333333336
Census tract,Tract 1505.02,17031150502,39.333333333333336
Census tract,Tract 1506,17031150600,33.0
Census tract,Tract 1507,17031150700,35.0
Census tract,Tract 1508,17031150800,41.8
Census tract,Tract 1510.01,17031151001,35.5
Census tract,Tract 1510.02,17031151002,41.5
Census tract,Tract 1511,17031151100,40.75
Census tract,Tract 1512,17031151200,39.0
Census tract,Tract 1601,17031160100,34.0
Census tract,Tract 1602,17031160200,18.0
Census tract,Tract 1603,17031160300,58.333333333333336
Census tract,Tract 1604,17031160400,23.333333333333332
Census tract,Tract 1605.01,17031160501,40.0
Census tract,Tract 1605.02,17031160502,34.333333333333336
Census tract,Tract 1606.01,17031160601,42.0
Census tract,Tract 1606.02,17031160602,34.333333333333336
Census tract,Tract 1607,17031160700,21.4
Census tract,Tract 1608,17031160800,26.0
Census tract,Tract 1609,17031160900,23.5
Census tract,Tract 1610,17031161000,12.5
Census tract,Tract 1611,17031161100,13.5
Census tract,Tract 1612,17031161200,33.5
Census tract,Tract 1613,17031161300,41.25
Census tract,Tract 1701,17031170100,63.0
Census tract,Tract 1702,17031170200,42.666666666666664
Census tract,Tract 1703,17031170300,35.4
Census tract,Tract 1704,17031170400,41.0
Census tract,Tract 1705,17031170500,39.75
Census tract,Tract 1706,17031170600,42.0
Census tract,Tract 1707,17031170700,41.333333333333336
Census tract,Tract 1708,17031170800,47.333333333333336
Census tract,Tract 1709,17031170900,50.0
Census tract,Tract 1710,17031171000,38.5
Census tract,Tract 1711,17031171100,39.333333333333336
Census tract,Tract 1801,17031180100,40.8
Census tract,Tract 1901,17031190100,45.0
Census tract,Tract 1902,17031190200,37.75
Census tract,Tract 1903,17031190300,43.25
Census tract,Tract 1904.01,17031190401,34.0
Census tract,Tract 1904.02,17031190402,50.5
Census tract,Tract 1906.01,17031190601,47.0
Census tract,Tract 1906.02,17031190602,50.666666666666664
Census tract,Tract 1907.01,17031190701,41.5
Census tract,Tract 1907.02,17031190702,49.0
Census tract,Tract 1908,17031190800,40.2
Census tract,Tract 1909,17031190900,45.0
Census tract,Tract 1910,17031191000,54.5
Census tract,Tract 1911,17031191100,46.0
Census tract,Tract 1912,17031191200,57.0
Census tract,Tract 1913.01,17031191301,53.333333333333336
Census tract,Tract 1913.02,17031191302,56.5
Census tract,Tract 2001,17031200100,43.333333333333336
Census tract,Tract 2002,17031200200,45.75
Census tract,Tract 2003,17031200300,53.0
Census tract,Tract 2004.01,17031200401,46.0
Census tract,Tract 2004.02,17031200402,49.666666666666664
Census tract,Tract 2101,17031210100,24.666666666666668
Census tract,Tract 2104,17031210400,44.5
Census tract,Tract 2105.01,17031210501,32.5
Census tract,Tract 2105.02,17031210502,30.333333333333332
Census tract,Tract 2106.01,17031210601,27.666666666666668
Census tract,Tract 2106.02,17031210602,33.0
Census tract,Tract 2107,17031210700,25.333333333333332
Census tract,Tract 2108,17031210800,25.0
Census tract,Tract 2109,17031210900,17.0
Census tract,Tract 2203,17031220300,24.5
Census tract,Tract 2204,17031220400,12.0
Census tract,Tract 2205,17031220500,19.0
Census tract,Tract 2206.01,17031220601,15.0
Census tract,Tract 2206.02,17031220602,19.25
Census tract,Tract 2207.01,17031220701,27.333333333333332
Census tract,Tract 2207.02,17031220702,27.0
Census tract,Tract 2209.01,17031220901,34.333333333333336
Census tract,Tract 2209.02,17031220902,25.0
Census tract,Tract 2210,17031221000,24.0
Census tract,Tract 2211,17031221100,34.0
Census tract,Tract 2212,17031221200,21.5
Census tract,Tract 2213,17031221300,15.666666666666666
Census tract,Tract 2214,17031221400,17.0
Census tract,Tract 2215,17031221500,18.0
Census tract,Tract 2216,17031221600,10.0
Census tract,Tract 2222,17031222200,8.5
Census tract,Tract 2225,17031222500,14.0
Census tract,Tract 2226,17031222600,24.0
Census tract,Tract 2227,17031222700,29.5
Census tract,Tract 2228,17031222800,32.0
Census tract,Tract 2229,17031222900,30.0
Census tract,Tract 2301,17031230100,16.0
Census tract,Tract 2302,17031230200,26.0
Census tract,Tract 2303,17031230300,33.0
Census tract,Tract 2304,17031230400,35.5
Census tract,Tract 2305,17031230500,54.0
Census tract,Tract 2306,17031230600,56.0
Census tract,Tract 2307,17031230700,44.0
Census tract,Tract 2308,17031230800,47.0
Census tract,Tract 2309,17031230900,26.0
Census tract,Tract 2311,17031231100,53.0
Census tract,Tract 2312,17031231200,81.0
Census tract,Tract 2315,17031231500,72.0
Census tract,Tract 2402,17031240200,5.0
Census tract,Tract 2403,17031240300,7.0
Census tract,Tract 2405,17031240500,16.0
Census tract,Tract 2406,17031240600,16.0
Census tract,Tract 2407,17031240700,13.0
Census tract,Tract 2408,17031240800,15.0
Census tract,Tract 2409,17031240900,27.0
Census tract,Tract 2410,17031241000,27.5
Census tract,Tract 2411,17031241100,25.5
Census tract,Tract 2412,17031241200,17.0
Census tract,Tract 2413,17031241300,13.0
Census tract,Tract 2414,17031241400,9.0
Census tract,Tract 2415,17031241500,11.0
Census tract,Tract 2416,17031241600,18.5
Census tract,Tract 2420,17031242000,22.333333333333332
Census tract,Tract 2421,17031242100,11.0
Census tract,Tract 2422,17031242200,11.0
Census tract,Tract 2423,17031242300,20.0
Census tract,Tract 2424,17031242400,17.0
Census tract,Tract 2425,17031242500,20.5
Census tract,Tract 2426,17031242600,19.5
Census tract,Tract 2427,17031242700,26.0
Census tract,Tract 2428,17031242800,12.0
Census tract,Tract 2429,17031242900,22.0
Census tract,Tract 2430,17031243000,23.5
Census tract,Tract 2431,17031243100,12.5
Census tract,Tract 2432,17031243200,14.0
Census tract,Tract 2433,17031243300,11.5
Census tract,Tract 2434,17031243400,22.333333333333332
Census tract,Tract 2435,17031243500,13.0
Census tract,Tract 2502,17031250200,63.5
Census tract,Tract 2503,17031250300,52.25
Census tract,Tract 2504,17031250400,61.0
Census tract,Tract 2505,17031250500,41.857142857142854
Census tract,Tract 2506,17031250600,54.25
Census tract,Tract 2507,17031250700,62.0
Census tract,Tract 2508,17031250800,55.0
Census tract,Tract 2510,17031251000,65.0
Census tract,Tract 2511,17031251100,68.25
Census tract,Tract 2512,17031251200,60.0
Census tract,Tract 2513,17031251300,59.6
Census tract,Tract 2514,17031251400,63.0
Census tract,Tract 2515,17031251500,65.0
Census tract,Tract 2516,17031251600,78.66666666666667
Census tract,Tract 2517,17031251700,66.0
Census tract,Tract 2518,17031251800,61.0
Census tract,Tract 2519,17031251900,69.0
Census tract,Tract 2520,17031252000,68.0
Census tract,Tract 2521.01,17031252101,63.0
Census tract,Tract 2521.02,17031252102,74.0
Census tract,Tract 2522.01,17031252201,65.0
Census tract,Tract 2522.02,17031252202,60.8
Census tract,Tract 2601,17031260100,67.0
Census tract,Tract 2602,17031260200,52.0
Census tract,Tract 2603,17031260300,76.0
Census tract,Tract 2604,17031260400,88.0
Census tract,Tract 2605,17031260500,76.0
Census tract,Tract 2606,17031260600,74.0
Census tract,Tract 2607,17031260700,68.0
Census tract,Tract 2608,17031260800,80.0
