census_tract,Tree_Canopy,Affordable_Housing,Parks,Transit_Stop,Bike_Miles,Wifi_Hotspots,School_Density,Library_Count,Small_Business,Grocery_Store,Tract_Area_SqMi,Population
17031010100,28.693841171092345,34.2508,94.8235,2.039,3.2305,7.5586,6.116,2.039,37.5127,6.7278,0.1323,4905
17031010201,35.93646552748992,16.4289,96.5188,4.323,1.574,10.3146,10.088,2.882,32.2813,5.9086,0.1939,6939
17031010202,26.445094244703625,141.5026,163.4514,43.764,3.1612,14.7929,25.529,7.294,121.4442,22.2465,0.1352,2742
17031010300,34.13485568543541,108.6439,220.0543,22.205,2.097,11.2676,7.93,1.586,58.8422,4.7581,0.1775,6305
17031010400,25.42578740255173,231.9354,287.6988,17.72,2.1565,0.0,7.876,3.938,38.3934,9.0569,0.1921,5079
17031010501,28.88637924127796,162.8626,571.4507,19.02,5.1398,12.4069,11.888,2.378,41.6072,5.7061,0.0806,4206
17031010502,30.57670656648308,291.6412,445.9194,12.203,5.7772,14.8368,12.203,6.101,41.4887,13.7279,0.0674,3278
17031010503,30.408752455809285,417.154,92.0991,19.493,0.0428,26.738,11.696,7.797,56.1404,13.2554,0.0748,2565
17031010600,36.93975319155595,208.0321,104.0683,16.064,1.2205,15.6904,11.245,3.213,80.4819,7.8715,0.1912,6225
17031010701,43.3827650113391,34.8489,204.9991,21.781,5.4015,6.0096,21.781,5.445,26.6812,0.8168,0.1664,3673
17031010702,24.96543613201336,143.4255,101.0717,27.219,1.8202,14.5455,14.657,4.188,164.1541,27.8476,0.1375,4776
17031020100,29.109544193111013,16.1828,128.6627,16.659,0.0,0.0,11.899,4.76,55.6878,6.1875,0.1575,4202
17031020200,31.336098991610417,1.9641,94.46,28.058,4.2671,0.0,5.612,2.806,46.7172,6.5937,0.4793,7128
17031020301,23.959032063061755,2.6611,161.7446,26.611,7.2647,9.3342,7.603,1.901,23.7597,5.3222,0.3214,5261
17031020302,32.702188912332346,3.3932,266.0439,33.932,4.1046,8.0972,11.976,3.992,33.1337,7.984,0.247,5010
17031020400,37.02782254850893,16.009,422.8131,27.057,9.4426,4.6318,15.784,4.51,35.6257,6.5389,0.2159,4435
17031020500,30.669031237015314,16.5177,314.881,16.669,9.1499,10.0671,9.092,4.546,57.1299,15.3053,0.298,6599
17031020601,27.717200269582847,34.7813,133.435,17.913,2.8471,17.8253,5.971,2.986,60.4568,13.1363,0.2244,6699
17031020602,29.37668880426022,28.743,282.7648,12.87,8.1975,15.7978,12.87,6.435,86.0146,15.873,0.1899,4662
17031020701,29.96673925116976,116.0192,315.258,117.084,4.8572,17.4825,26.61,10.644,221.9266,27.6743,0.2288,1879
17031020702,26.04834840656197,28.3789,238.4536,22.029,4.3098,22.2058,6.479,2.592,37.5794,5.9609,0.2702,7717
17031020801,27.076880234346422,21.0694,165.6602,24.788,0.0,15.7978,7.082,3.541,73.3003,13.4561,0.2532,5648
17031020802,27.868197324244708,16.1675,160.8735,22.528,1.0274,24.1352,7.951,2.65,105.4864,21.7334,0.2486,7546
17031020901,23.002890056720723,16.0739,196.04,17.1,3.352,0.0,3.42,5.13,56.9425,13.5089,0.1894,5848
17031020902,27.302370645642423,24.5098,63.1952,11.141,4.3729,5.1706,8.913,8.913,35.205,5.7932,0.1934,4488
17031030101,20.64583696166381,272.8506,434.2326,8.137,1.3947,41.6667,8.137,2.712,53.9734,9.764,0.048,3687
17031030102,17.99986572630535,288.6895,253.5659,9.612,0.0,47.9616,9.612,3.204,64.082,14.7389,0.0417,3121
17031030103,21.32285911379625,289.924,121.0047,19.011,0.0,58.309,9.506,9.506,52.7567,9.5057,0.0343,2104
17031030104,14.295946177875871,172.3942,118.9244,11.36,0.0,57.3066,5.68,5.68,20.1647,3.9761,0.0349,3521
17031030200,36.2939207197567,197.4409,44.9115,24.88,3.0508,11.7509,8.886,3.554,96.6767,16.3497,0.2553,5627
17031030300,34.64294906809196,34.3075,90.916,19.06,6.438,16.5563,12.706,9.53,62.2618,7.6239,0.1208,3148
17031030400,27.92870106695501,41.5864,53.0209,38.506,5.4426,14.8699,15.402,7.701,92.4143,11.1667,0.1345,2597
17031030500,34.06211539527264,99.9515,44.9031,27.495,3.042,12.4688,8.087,3.235,66.7961,10.351,0.2406,6183
17031030601,19.28825155873536,154.874,594.634,12.147,9.2828,34.7222,9.11,3.037,23.9903,1.822,0.0576,3293
17031030603,19.53461608469253,196.577,873.4634,14.67,26.1121,44.6429,14.67,9.78,73.8386,15.6479,0.0448,2045
17031030604,22.5504203591107,107.5729,1162.0997,10.704,26.9503,36.2976,5.352,5.352,33.4493,1.0704,0.0551,3737
17031030701,22.07422242428797,245.9605,1446.1101,5.984,61.9193,37.037,17.953,11.969,77.7977,17.9533,0.027,1671
17031030703,24.43543406090179,271.8699,497.8764,29.268,26.9149,53.6913,9.756,6.504,53.3333,7.4797,0.0745,3075
17031030706,26.43523634467742,285.0324,884.2228,30.685,30.6517,29.0065,13.638,6.819,48.4146,4.4323,0.1379,2933
17031030800,36.82285769039829,203.5481,12.0172,21.008,2.2541,22.8102,14.006,4.669,125.817,23.1092,0.2192,4284
17031030900,28.936197757951305,30.4878,9.0028,60.976,1.6007,0.0,16.938,6.775,209.0108,20.3252,0.1577,2952
17031031000,28.161231412151764,87.9007,31.011,23.268,3.4212,36.4964,15.512,5.171,99.2761,12.9266,0.1644,3868
17031031100,28.14322361327196,227.67,28.824,25.581,6.2124,56.5238,14.922,6.395,77.8086,10.0192,0.2123,4691
17031031200,19.095437602863864,209.529,175.4607,19.852,15.6701,95.1626,7.219,3.609,116.044,27.2514,0.1261,5541
